question,options,answer,
What is the primary source of CO2 emissions in the production of mobile phones?,"['a) Transportation', 'b) Manufacturing processes', 'c) Usage phase', 'd) End-of-life disposal']",b,b) Manufacturing processes
Which of the following materials used in mobile phone production contributes significantly to CO2 emissions?,"['a) Plastic', 'b) Aluminum', 'c) Glass', 'd) Silicone']",b,b) Aluminum
Which phase of a mobile phone's life cycle typically has the highest CO2 footprint?,"['a) Manufacturing', 'b) Transportation', 'c) Usage', 'd) Disposal']",a,a) Manufacturing
"Which type of mobile phone, based on the provided links, has the lowest reported CO2 emissions?","['a) iPhone 13 Pro', 'b) iPhone SE (3rd generation)', 'c) Galaxy Z Fold5', 'd) Galaxy S24']",b,b) iPhone SE (3rd generation)
Which factor can help reduce CO2 emissions during the usage phase of a mobile phone?,"['a) Increasing screen brightness', 'b) Using energy-efficient apps', 'c) Charging the phone frequently', 'd) Keeping multiple apps running simultaneously']",b,b) Using energy-efficient apps
Which mobile phone model has the highest reported CO2 emissions according to the provided links?,"['a) iPhone 15 Pro', 'b) Galaxy S24+', 'c) iPhone 12 mini', 'd) Galaxy Z Flip5']",c,c) iPhone 12 mini
Which material substitution in mobile phone production can lead to a reduction in CO2 emissions?,"['a) Plastic for aluminium', 'b) Aluminium for glass', 'c) Glass for silicone', 'd) Silicone for plastic']",a,a) Plastic for aluminium
What role does the battery production process play in the CO2 footprint of mobile phones?,"['a) Negligible impact', 'b) Significant impact', 'c) Positive impact', 'd) No impact']",b,b) Significant impact
Which phase of the mobile phone life cycle contributes the least to its overall CO2 footprint?,"['a) Manufacturing', 'b) Transportation', 'c) Usage', 'd) Disposal']",d,d) Disposal
How can a user minimize the CO2 emissions associated with mobile phone usage?,"['a) Keeping the phone on standby mode', 'b) Charging the phone overnight', 'c) Using a power-saving mode', 'd) Frequent gaming and video streaming']",c,c) Using a power-saving mode
Sample placeholder question 11?,"['a) Option A11', 'b) Option B11', 'c) Option C11', 'd) Option D11']",c,c) User's daily commute
Sample placeholder question 12?,"['a) Option A12', 'b) Option B12', 'c) Option C12', 'd) Option D12']",b,b) iPhone 14 series
Sample placeholder question 13?,"['a) Option A13', 'b) Option B13', 'c) Option C13', 'd) Option D13']",b,b) Processor
Sample placeholder question 14?,"['a) Option A14', 'b) Option B14', 'c) Option C14', 'd) Option D14']",c,c) Regular software updates and maintenance
Sample placeholder question 15?,"['a) Option A15', 'b) Option B15', 'c) Option C15', 'd) Option D15']",c,c) Screen brightness
Sample placeholder question 16?,"['a) Option A16', 'b) Option B16', 'c) Option C16', 'd) Option D16']",a,a) ISO 14040 and ISO 14044
Sample placeholder question 17?,"['a) Option A17', 'b) Option B17', 'c) Option C17', 'd) Option D17']",b,"b) ISO 14040, ISO 14044, and ISO 14067"
Sample placeholder question 18?,"['a) Option A18', 'b) Option B18', 'c) Option C18', 'd) Option D18']",d,d) iPhone 15 mini
Sample placeholder question 19?,"['a) Option A19', 'b) Option B19', 'c) Option C19', 'd) Option D19']",c,c) 75
Sample placeholder question 20?,"['a) Option A20', 'b) Option B20', 'c) Option C20', 'd) Option D20']",a,a) ISO 14040 and ISO 14044
Sample placeholder question 21?,"['a) Option A21', 'b) Option B21', 'c) Option C21', 'd) Option D21']",b,"b) ISO 14040, ISO 14044, and ISO 14067"
Sample placeholder question 22?,"['a) Option A22', 'b) Option B22', 'c) Option C22', 'd) Option D22']",d,d) iPhone 15 mini
Sample placeholder question 23?,"['a) Option A23', 'b) Option B23', 'c) Option C23', 'd) Option D23']",c,c) 75
Sample placeholder question 24?,"['a) Option A24', 'b) Option B24', 'c) Option C24', 'd) Option D24']",a,a) ISO 14040 and ISO 14044
Sample placeholder question 25?,"['a) Option A25', 'b) Option B25', 'c) Option C25', 'd) Option D25']",c,c) 75
Sample placeholder question 26?,"['a) Option A26', 'b) Option B26', 'c) Option C26', 'd) Option D26']",a,a) iPhone 11
Sample placeholder question 27?,"['a) Option A27', 'b) Option B27', 'c) Option C27', 'd) Option D27']",c,c) 75
Sample placeholder question 28?,"['a) Option A28', 'b) Option B28', 'c) Option C28', 'd) Option D28']",a,a) ISO 14040 and ISO 14044
Sample placeholder question 29?,"['a) Option A29', 'b) Option B29', 'c) Option C29', 'd) Option D29']",d,d) 100%
Sample placeholder question 30?,"['a) Option A30', 'b) Option B30', 'c) Option C30', 'd) Option D30']",b,b) iPhone 12
Sample placeholder question 31?,"['a) Option A31', 'b) Option B31', 'c) Option C31', 'd) Option D31']",a,a) 85%
Sample placeholder question 32?,"['a) Option A32', 'b) Option B32', 'c) Option C32', 'd) Option D32']",a,a) 15%
Sample placeholder question 33?,"['a) Option A33', 'b) Option B33', 'c) Option C33', 'd) Option D33']",b,"b) ISO 14040, ISO 14044, and ISO 14067"
Sample placeholder question 34?,"['a) Option A34', 'b) Option B34', 'c) Option C34', 'd) Option D34']",c,c) iPhone 13 Pro Max 1Tb
Sample placeholder question 35?,"['a) Option A35', 'b) Option B35', 'c) Option C35', 'd) Option D35']",a,a) 2%
Sample placeholder question 36?,"['a) Option A36', 'b) Option B36', 'c) Option C36', 'd) Option D36']",a,a) <1%
Sample placeholder question 37?,"['a) Option A37', 'b) Option B37', 'c) Option C37', 'd) Option D37']",a,a) 85%
Sample placeholder question 38?,"['a) Option A38', 'b) Option B38', 'c) Option C38', 'd) Option D38']",a,a) 18%
Sample placeholder question 39?,"['a) Option A39', 'b) Option B39', 'c) Option C39', 'd) Option D39']",b,"b) ISO 14040, ISO 14044, and ISO 14067"
Sample placeholder question 40?,"['a) Option A40', 'b) Option B40', 'c) Option C40', 'd) Option D40']",a,a) 2%
Sample placeholder question 41?,"['a) Option A41', 'b) Option B41', 'c) Option C41', 'd) Option D41']",b,B) To reduce direct greenhouse gas emissions
Sample placeholder question 42?,"['a) Option A42', 'b) Option B42', 'c) Option C42', 'd) Option D42']",a,A) By offering software updates
Sample placeholder question 43?,"['a) Option A43', 'b) Option B43', 'c) Option C43', 'd) Option D43']",c,C) They are collecting and recycling them
Sample placeholder question 44?,"['a) Option A44', 'b) Option B44', 'c) Option C44', 'd) Option D44']",a,A) C-Lab for discovering eco-friendly projects
Sample placeholder question 45?,"['a) Option A45', 'b) Option B45', 'c) Option C45', 'd) Option D45']",b,B) By managing and reducing waste production
Sample placeholder question 46?,"['a) Option A46', 'b) Option B46', 'c) Option C46', 'd) Option D46']",c,C) Resource-circulating materials
Sample placeholder question 47?,"['a) Option A47', 'b) Option B47', 'c) Option C47', 'd) Option D47']",c,C) They have a commitment to respecting human rights
Sample placeholder question 48?,"['a) Option A48', 'b) Option B48', 'c) Option C48', 'd) Option D48']",a,A) By conducting ESG checks and education
Sample placeholder question 49?,"['a) Option A49', 'b) Option B49', 'c) Option C49', 'd) Option D49']",b,B) To ensure minerals are sourced responsibly
Sample placeholder question 50?,"['a) Option A50', 'b) Option B50', 'c) Option C50', 'd) Option D50']",b,b) The Carbon Trust of the UK
Sample placeholder question 51?,"['a) Option A51', 'b) Option B51', 'c) Option C51', 'd) Option D51']",a,a) iPhone 11
Sample placeholder question 52?,"['a) Option A52', 'b) Option B52', 'c) Option C52', 'd) Option D52']",c,c) 75
Sample placeholder question 53?,"['a) Option A53', 'b) Option B53', 'c) Option C53', 'd) Option D53']",a,a) ISO 14040 and ISO 14044
Sample placeholder question 54?,"['a) Option A54', 'b) Option B54', 'c) Option C54', 'd) Option D54']",d,d) 100%
Sample placeholder question 55?,"['a) Option A55', 'b) Option B55', 'c) Option C55', 'd) Option D55']",b,b) iPhone 12
Sample placeholder question 56?,"['a) Option A56', 'b) Option B56', 'c) Option C56', 'd) Option D56']",a,a) 85%
Sample placeholder question 57?,"['a) Option A57', 'b) Option B57', 'c) Option C57', 'd) Option D57']",a,a) 15%
Sample placeholder question 58?,"['a) Option A58', 'b) Option B58', 'c) Option C58', 'd) Option D58']",b,"b) ISO 14040, ISO 14044, and ISO 14067"
Sample placeholder question 59?,"['a) Option A59', 'b) Option B59', 'c) Option C59', 'd) Option D59']",c,c) iPhone 13 Pro Max 1Tb
Sample placeholder question 60?,"['a) Option A60', 'b) Option B60', 'c) Option C60', 'd) Option D60']",a,a) 2%
Sample placeholder question 61?,"['a) Option A61', 'b) Option B61', 'c) Option C61', 'd) Option D61']",a,a) <1%
Sample placeholder question 62?,"['a) Option A62', 'b) Option B62', 'c) Option C62', 'd) Option D62']",a,a) 85%
Sample placeholder question 63?,"['a) Option A63', 'b) Option B63', 'c) Option C63', 'd) Option D63']",a,a) 18%
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
